"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Beta_est","SE"
"1","ARG",3,-14.5693847791833,99.2294399281311,2.83531227720585e-22,2.83531227720132e-22,11.1418352467345,-0.0197171090263847,0.41648732185848
"2","USA_ARG",4,-113.798824707314,0,1,0.999999999998402,62.4378738921187,-0.916605631877603,0.0282750668878063
"3","RSA_USA_ARG",5,-59.4742552069387,54.3245695003757,0.00000000000159797366261483,0.00000000000159797366261228,40.7371276034693,-0.920967322794079,0.047822852167675
"4","SAM",4,-16.468324178384,97.3305005289304,7.32740758469383e-22,7.32740758468212e-22,17.234162089192,-0.343097780940466,0.276280458780615
