"","sender_coef","sender_pval","sender_adjr2","sender_nobs","mean_prop"
".id",sender_coef,sender_pval,sender_adjr2,sender_nobs,mean_prop
"Min.",-0.00566834, 0.00000000, 0.11360000, 4.00000000, 0.00000000
"1st Qu.",-0.000226055, 0.000000000, 0.240425000,12.000000000, 0.001250000
"Median",1.2119e-04,4.5000e-04,3.6115e-01,1.8000e+01,5.0000e-03
"Mean",-1.132983e-05, 5.527586e-03, 3.991983e-01, 1.850000e+01, 1.215517e-02
"3rd Qu.",3.384225e-04,4.700000e-03,5.615250e-01,2.700000e+01,1.100000e-02
"Max.", 0.00212742, 0.04450000, 0.82880000,28.00000000, 0.11000000
"sd",0.00096927324438774,0.00965041210107155,0.202287894106984,7.60712961981269,0.0199734927184321
