"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Beta_est","SE"
"1","USA",3,-50.3275216047457,63.4713031025687,0.0000000000000164961140925327,0.000000000000016496114092506,28.869643155314,-0.678106465331749,0.0715255908420555
"2","USA_ARG",4,-113.798824707314,0,1,0.999999999998386,62.4378738921187,-0.977335887245324,0.0146245538846942
"3","RSA_USA_ARG",5,-59.4742552069387,54.3245695003757,0.00000000000159797366261483,0.00000000000159797366261225,40.7371276034693,-0.980841840615421,0.0193707889355017
